,tax_code,name,address_number,street,ward,district,province,website,facebook,linkedin,email,phone_number,other_contact_info
0,2400816526,CÔNG TY TNHH CÔNG NGHỆ LENS VIỆT NAM,R(R2,Khu công nghiệp Quang Châu,Xã Quang Châu,Huyện Việt Yên,Tỉnh Bắc Giang,http://www.hnlens.com/index.asp,https://www.facebook.com/tintucvatruyenthonglensvn/,,tuyendunglens@gmail.com,Bị ẩn theo yêu cầu người dùng,
1,2400850220,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI VINAGROUP,,Thôn My Điền 1,Thị Trấn Nếnh,Huyện Việt Yên,Tỉnh Bắc Giang,,,,,0914989558,
2,2400803196,CÔNG TY TNHH HÒA PHÚ INVEST,,Lo HC - Khu cong nghiep Hoa Phu,Xa Mai Dinh,Huyen Hiep Hoa,Bac Giang,http://www.hoaphuip.com/,,,,0204 3586868,
3,2801131174,CÔNG TY CỔ PHẦN TẬP ĐOÀN EURODOOR ,278,Trường Thi,Phường Trường Thi,Thành phố Thanh Hoá,Tỉnh Thanh Hoá,,,,,0912084582,
4,2802837501,CÔNG TY CỔ PHẦN GIẤY HỢP THÀNH,"Tổ 9 , khu 3",,Phường Ba Đình,Thị xã Bỉm Sơn,Tỉnh Thanh Hoá,,,,,0363098389,
5,5200313552,CÔNG TY CỔ PHẦN KHOÁNG SẢN HƯNG PHÁT,,Thông Phương Đạo 2,Xã Lương Thịnh,Huyện Trấn Yên,Tỉnh Yên Bái,,,,hungphatyb@gmail.com,0293814069,
6,5200873674,HỢP TÁC XÃ QUẾ HỒI VIỆT NAM,,Thôn 5,Đào Thịnh,Huyện Trấn Yên,Tỉnh Yên Bái,,,,,0985555559,
7,306002036,CÔNG TY TNHH THƯƠNG MẠI TRANG TRẠI VIỆT,16 tổ 3,khu phố 2 Đường Số 4,Phường Tăng Nhơn Phú B,Thành phố Thủ Đức,Thành phố Hồ Chí Minh,,,,,0907195697,
8,301959181,CÔNG TY TNHH TRẦN TỶ,23,An DƯơng Vương,phuường 16,Quan 8,Ho Chi Minh,https://bangtaitranty.com/,,,trantyco@gmail.com,028 39801246,
9,303228638,CÔNG TY TNHH M.A.P,"X05-01, Tầng 5 Tòa nhà X1 - Sunrise City North Towers, Số 27",Đường Nguyễn Hữu Thọ,Phường Tân Hưng,Quận 7,Thành phố Hồ Chí Minh,https://maps.com.vn/,,,map@maps.com.vn,028 3620 6011,
10,310825730,CÔNG TY TNHH MỘT THÀNH VIÊN HẢI ĐĂNG ĐÔNG DƯƠNG,"Phòng 405, Lầu 4 Tòa nhà Health Boutique, Số 28-30",Trần Đình Xu,Phường Cô Giang,Quận 1,Thành phố Hồ Chí Minh,https://lgi-indochina.com/,,,,08 3822 2098,
11,700795143,CÔNG TY TNHH ĐIỆN TỬ TDI VIỆT NAM,,Khu Công Nghiệp hỗ trợ Đồng Văn III,Phuường Hoàng Đông,Thị xã Duy Tiên,Tỉnh Hà Nam,,,,,,
12,700262378,CÔNG TY CỔ PHẦN DỆT MAY XUẤT NHẬP KHẨU HOÀ PHÁT,,,Xã Công Lý,Huyện Lý Nhân,Tỉnh Hà Nam,,,,,0903213723,
13,700226122,CÔNG TY TNHH ĐỨC LƯỢNG,,Cụm công nghiệp Hoàng Đông,Phường Hoàng Đông,Thị xã Duy Tiên,Tỉnh Hà Nam,,,,,0905699474,
14,313296066,CÔNG TY TNHH MỘT THÀNH VIÊN YOLO P&D VIỆT NAM,4/15A Ấp 3,,Xã Xuân Thới Thượng,Huyện Hóc Môn,Thành phố Hồ Chí Minh,,,,,0938183646,
15,102658775,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI VESBO HÀ NỘI,Ngõ 114,Đường Vũ Trọng Phụng,Phuong Thanh Xuan Trung,Quan Thanh Xuan,Ha Noi,,,,,0473069889/09856888,
16,105901509,"CÔNG TY CỔ PHẦN ĐẦU TƯ, XÂY DỰNG VÀ THƯƠNG MẠI QUỐC TẾ VITA",Lô 9,Khu Đô thị mới Định Công,Phường Định Công,Quận Hoàng Mai,Thành phố Hà Nội,,,,,(84-4) 6680 3857,
17,3701106779,CÔNG TY TNHH ĐẦU TƯ & XÂY DỰNG LIÊN PHÁT,Lô CN4,"đường số 1,khu công nghiệp Sóng Thần 3,",Phường Phú Tân,Thành phố Thủ Dầu Một,Tỉnh Bình Dương,,,,,,
